Zip Code,City,County
92154,San Diego,San Diego
92155,San Diego,San Diego
92158,San Diego,San Diego
92159,San Diego,San Diego
92160,San Diego,San Diego
92161,San Diego,San Diego
92162,San Diego,San Diego
92163,San Diego,San Diego
92164,San Diego,San Diego
92165,San Diego,San Diego
92166,San Diego,San Diego
92167,San Diego,San Diego
92168,San Diego,San Diego
92169,San Diego,San Diego
92170,San Diego,San Diego
92171,San Diego,San Diego
92172,San Diego,San Diego
92173,San Ysidro,San Diego
92174,San Diego,San Diego
92175,San Diego,San Diego
92176,San Diego,San Diego
92177,San Diego,San Diego
92178,Coronado,San Diego
92179,San Diego,San Diego
92182,San Diego,San Diego
92184,San Diego,San Diego
92186,San Diego,San Diego
92187,San Diego,San Diego
92190,San Diego,San Diego
92191,San Diego,San Diego
92192,San Diego,San Diego
92193,San Diego,San Diego
92194,San Diego,San Diego
92195,San Diego,San Diego
92196,San Diego,San Diego
92197,San Diego,San Diego
92198,San Diego,San Diego
92199,San Diego,San Diego
